restaurant,address,zip_code,geo_coordinates_search,lon,lat,neighborhood,match_type,distance_m
Latham House,299 Marin Blvd,0,"40.71159509,-74.06479057",-74.06479057,40.71159509,Lafayette,within,0.0
Plant Base,370 Pacific Ave,7304,"40.7129978,-74.06032696",-74.06032696,40.7129978,Lafayette,within,0.0
Rosita's Yah,203 Academy St,7306,"40.72748,-74.063528",-74.063528,40.72748,St. Aedens,within,0.0
Corto,507 Palisade Ave,7307,"40.74585728,-74.0432336",-74.0432336,40.74585728,Hudson City,within,0.0
Crave Cafe and Cigars,61B Baldwin Ave,7307,"40.72405294,-74.064088",-74.064088,40.72405294,St. Aedens,within,0.0
Dunkin Donuts,854 Jersey Ave,7310,"40.73559558,-74.04377483",-74.04377483,40.73559558,Van Leer,within,0.0
Five Guys,101 Hudson St,7302,"40.71565936,-74.03427343",-74.03427343,40.71565936,Exchange Place,within,0.0
Honshu,95 Greene St,7302,"40.71582038,-74.03596215",-74.03596215,40.71582038,Palus Hook,within,0.0
Light Horse Tavern,199 Washington,7302,"40.7142659,-74.03799454",-74.03799454,40.7142659,Palus Hook,within,0.0
Dark Side Of The Moo,52 Bowers St,7094,"40.74588442,-74.04409255",-74.04409255,40.74588442,Hudson City,within,0.0
McDonald's,428 Grand St,7302,"40.71721108,-74.05399389",-74.05399389,40.71721108,Bates,within,0.0
Taco Bell,701 Route 440,7306,"40.71159509,-74.06479057",-74.06479057,40.71159509,Lafayette,within,0.0
Tony Boloney's,363 Grove St,7302,"40.72111271,-74.04281459",-74.04281459,40.72111271,Harsimus Cove,within,0.0
Bawarchi Biryani Corner,839 Newark Ave,7302,"40.73566741,-74.06653155",-74.06653155,40.73566741,Journal Square,within,0.0
Loradella's Family Pizzeria,126 River Drive South,7302,"40.73044659,-74.03179529",-74.03179529,40.73044659,Newport,within,0.0
Green Pear Heights,93 Franklin St,7307,"40.7422248,-74.048886",-74.048886,40.7422248,Waverly,within,0.0
Korai Kitchen,576 Summit Ave,7306,"40.73395666,-74.05931116",-74.05931116,40.73395666,Journal Square,within,0.0
Alexandria Seafood,537 West Side Ave,7304,"40.71920974,-74.08289272",-74.08289272,40.71920974,West Side,within,0.0
Cabalen Bar & Grill,561 West Side Ave,7302,"40.72008904,-74.08211088",-74.08211088,40.72008904,West Side,within,0.0
City Diner,31 Montgomery St,7396,"40.72125927,-74.05639009",-74.05639009,40.72125927,Mill Creek,within,0.0
New Park Tavern,575 West Side Ave,7304,"40.72058591,-74.08169984",-74.08169984,40.72058591,West Side,within,0.0
Rustique Pizza,611 Jersey Ave,7302,"40.72482259,-74.04560163",-74.04560163,40.72482259,Harsimus Cove,within,0.0
Salumeria Ercolano,1072 West Side Ave,7305,"40.73637663,-74.07004442",-74.07004442,40.73637663,Marion,within,0.0
Busy Bee Organics,451 Palisade Ave,7097,"40.744027,-74.04437636",-74.04437636,40.744027,Hudson City,within,0.0
Corkscrew Bar and Grill,61 Congress St,7302,"40.7495214,-74.04292324",-74.04292324,40.7495214,Mount Pleasant,within,0.0
Carvao BBQ,686 Bergen Ave,7305,"40.72354354,-74.07024841",-74.07024841,40.72354354,Bergen Hill,within,0.0
DOMODOMO Jersey City,200 Greene St,7311,"40.72088153,-74.03534108",-74.03534108,40.72088153,Harborside,within,0.0
Singas Famous Pizza,840 Newark Ave,7306,"40.73587556,-74.06672948",-74.06672948,40.73587556,West End,within,0.0
